race,age_stratum,age_label,timepoint,n_features,S0,H0,AUC,C_index,Brier,n_samples,n_events,threshold_low_upper,threshold_med_upper,sullivan_beta_age,sullivan_P5,sullivan_P95
White,leq65,≤65,5,42,0.998154415255568,0.0018472899343277523,0.8101320509364548,0.7831792960650589,0.001381619908686875,401100,555,1.0,3.0,0.012850822683676589,-50.27623950309153,73.32441295937817
White,leq65,≤65,10,42,0.9902146466051734,0.009833544601722703,0.8144896750791303,0.7744811589992361,0.006154339084156758,401100,2491,1.0,3.0,0.05580014050464914,-41.91829850078484,59.59661816212197
White,leq65,≤65,15,42,0.9728852872167982,0.027489099720922314,0.8180016388819937,0.7718715289396701,0.010598731513582944,401100,4248,1.0,3.0,0.0850602638000061,-38.96849483719627,55.12192774412896
White,gt65,>65,5,42,0.9929367183987149,0.007088344662811511,0.795519423441805,0.7869272674834815,0.006198696815535425,71020,444,5.0,15.0,0.013875635158361736,-113.0339117700669,154.70126343465603
White,gt65,>65,10,42,0.9619124579027002,0.03883183255833427,0.7647056339380548,0.7512065251264259,0.028763073944020626,71020,2156,5.0,15.0,0.06285730840445358,-64.90411765154577,89.98567792373329
White,gt65,>65,15,42,0.9176947463386843,0.08589046398702013,0.7514665349365721,0.7411295661470089,0.045932001345899975,71020,3487,5.0,15.0,0.08064323518697131,-59.44397545371928,82.2387933319207
Black,leq65,≤65,5,43,0.9965057683835251,0.0035003507022634385,0.8213793938293462,0.7953582084622414,0.0024366325614612284,7361,18,1.0,3.0,0.03171674035528999,-38.822677133214675,57.336023655423425
Black,leq65,≤65,10,43,0.9886632805244732,0.01140146991662306,0.8101497626740478,0.7691818624533304,0.006931735479387173,7361,52,1.0,3.0,0.07568258195772377,-40.82325725475441,65.16508113101064
Black,leq65,≤65,15,43,0.9759485060363413,0.024345454169579984,0.8323330979838394,0.787280548173431,0.010211158521887692,7361,77,1.0,3.0,0.110300824268928,-36.09063138612783,56.521232818738994
Black,gt65,>65,10,43,0.9297637217857069,0.07282478771021836,0.7875581395348837,0.7776953144327347,0.049995625937944044,685,40,5.0,15.0,0.24696115831921922,-30.095160588705973,33.59742436061957
Black,gt65,>65,15,43,0.8810073276812048,0.1266893356217451,0.7921587553940496,0.7817829144104098,0.06758473399476567,685,56,5.0,15.0,0.2492415705607175,-32.23371199639474,36.11587103796149
Asian,leq65,≤65,10,42,0.9912369965597086,0.008801624343881912,0.8421839210794875,0.7986608625078393,0.00558553743955397,8869,50,1.0,3.0,0.0636018357328849,-42.59704357833635,58.35293913494447
Asian,leq65,≤65,15,42,0.9564304469949441,0.04454720890370323,0.8316146205375321,0.7749346129291348,0.011848738120104068,8869,98,1.0,3.0,0.12529648215694136,-30.77602587413959,40.853530000530434
Asian,gt65,>65,10,42,0.9583734674469097,0.0425177362206637,0.8223668981481482,0.7995365005793743,0.032013362485732805,996,36,5.0,15.0,,,
Asian,gt65,>65,15,42,0.9136060078775177,0.09035586405394237,0.802134937485256,0.7938819885026658,0.047248603993376055,996,54,5.0,15.0,,,
